latitude,longitude,population
9.7159722,123.8773611,5.044764
9.7151389,123.8745833,5.044764
9.7184722,123.88375,5.044764
9.7151389,123.8809722,5.044764
9.7170833,123.8784722,5.044764
9.7181944,123.8840278,5.044764
9.71625,123.8751389,5.044764
9.7176389,123.8793056,5.044764
9.71625,123.8806944,5.044764
17.4176389,120.4715278,2.065129
17.4198611,120.46625,2.065129
17.41875,120.4668056,2.065129
17.4254167,120.4731944,2.065129
17.4209722,120.4698611,2.065129
17.4243056,120.4743056,2.065129
17.4184722,120.4668056,2.065129
17.4201389,120.4718056,2.065129
17.4220833,120.4676389,2.065129
17.4243056,120.4723611,2.065129
17.4170833,120.4695833,2.065129
17.4195833,120.46875,2.065129
17.4184722,120.4695833,2.065129
17.4176389,120.4684722,2.065129
17.4170833,120.4673611,2.065129
17.4193056,120.4681944,2.065129
17.4226389,120.4681944,2.065129
17.4181944,120.4695833,2.065129
17.4259722,120.4734722,2.065129
17.4190278,120.4695833,2.065129
17.4184722,120.4690278,2.065129
17.4201389,120.4693056,2.065129
17.4181944,120.4673611,2.065129
17.4226389,120.4704167,2.065129
17.4195833,120.4654167,2.065129
17.4206944,120.4670833,2.065129
17.41875,120.4681944,2.065129
17.4223611,120.4676389,2.065129
17.4209722,120.4668056,2.065129
17.4234722,120.4668056,2.065129
17.4198611,120.4715278,2.065129
17.42375,120.4640278,2.065129
17.41625,120.4681944,2.065129
17.4179167,120.4706944,2.065129
17.4240278,120.4670833,2.065129
17.4176389,120.4706944,2.065129
17.4168056,120.4706944,2.065129
17.4206944,120.4684722,2.065129
17.4248611,120.4704167,2.065129
17.4229167,120.4665278,2.065129
17.4248611,120.4734722,2.065129
17.4176389,120.4670833,2.065129
17.4193056,120.4709722,2.065129
17.4193056,120.4718056,2.065129
17.4231944,120.4668056,2.065129
17.4209722,120.47125,2.065129
17.4176389,120.4690278,2.065129
17.4173611,120.4704167,2.065129
17.4229167,120.4668056,2.065129
17.4234722,120.4670833,2.065129
